Hora,Tipo,Cantidad,Activo,Símbolo,ID de transacción (TXID)
2024-11-01 05:00:02,FUNDING_FEE,-0.15342327,USDT,WLDUSDT,9046409197108065160
2024-11-01 13:00:02,FUNDING_FEE,-0.15484496,USDT,WLDUSDT,9047617156030917760
2024-11-01 21:00:02,FUNDING_FEE,-0.15395721,USDT,WLDUSDT,9048825115415147090
2024-11-02 05:00:02,FUNDING_FEE,-0.15457362,USDT,WLDUSDT,9050033076519039880
2024-11-02 13:00:02,FUNDING_FEE,-0.14778036,USDT,WLDUSDT,9051241037287387870
2024-11-02 21:00:02,FUNDING_FEE,-0.14819805,USDT,WLDUSDT,9052448996419957020
2024-11-02 23:37:04,COMMISSION,-0.02492242,USDT,WLDUSDT,94971706235156
2024-11-03 05:00:02,FUNDING_FEE,-0.15677495,USDT,WLDUSDT,9053656953581200230
2024-11-03 13:00:02,FUNDING_FEE,-0.09741012,USDT,WLDUSDT,9054864912504058810
2024-11-03 21:00:02,FUNDING_FEE,-0.1262209,USDT,WLDUSDT,9056072870588049490
2024-11-04 05:00:02,FUNDING_FEE,-0.14503841,USDT,WLDUSDT,9057280830391708010
2024-11-04 13:00:02,FUNDING_FEE,-0.14846486,USDT,WLDUSDT,9058488791285887170
2024-11-04 21:00:02,FUNDING_FEE,-0.08596828,USDT,WLDUSDT,9059696749915141970
2024-11-05 05:00:02,FUNDING_FEE,-0.11329764,USDT,WLDUSDT,9060904722217823700
2024-11-05 13:00:02,FUNDING_FEE,-0.15747262,USDT,WLDUSDT,9062112669732169250
2024-11-05 14:25:33,TRANSFER,100,USDT,,206464682350
2024-11-05 14:31:15,COMMISSION,-0.01787499,USDT,WLDUSDT,94971709308030
2024-11-05 14:31:16,COMMISSION,-0.0067925,USDT,WLDUSDT,94971709308046
2024-11-05 14:32:03,COMMISSION,-0.01422506,USDT,BTCUSDT_241227,972114339521
2024-11-05 14:51:33,COMMISSION,-0.024857,USDT,WLDUSDT,94971709327262
2024-11-05 16:56:07,COMMISSION,-0.01402506,USDT,BTCUSDT_241227,972114343473
2024-11-05 16:57:41,COMMISSION,-0.0140025,USDT,BTCUSDT_241227,972114343652
2024-11-05 16:57:42,COMMISSION,-0.0139751,USDT,BTCUSDT_241227,972114343679
2024-11-05 21:00:02,FUNDING_FEE,-0.18220503,USDT,WLDUSDT,9063320628277538960
2024-11-06 00:06:40,REALIZED_PNL,20.845,USDT,BTCUSDT_241227,972104365779
2024-11-06 00:06:40,COMMISSION,-0.1509918,USDT,BTCUSDT_241227,972104365779
2024-11-06 01:39:45,COMMISSION,-0.0151751,USDT,BTCUSDT_241227,972114377122
2024-11-06 01:59:54,COMMISSION,-0.0151026,USDT,BTCUSDT_241227,972114378536
2024-11-06 03:08:19,COMMISSION,-0.015175,USDT,BTCUSDT_241227,972114382636
2024-11-06 03:08:19,COMMISSION,-0.227625,USDT,BTCUSDT_241227,972114382637
2024-11-06 05:00:02,FUNDING_FEE,-0.19451798,USDT,WLDUSDT,9064528588290908410
2024-11-06 05:04:42,COMMISSION,-0.0147751,USDT,BTCUSDT_241227,972114391720
2024-11-06 13:00:03,FUNDING_FEE,-0.193968,USDT,WLDUSDT,9065736566423679290
2024-11-06 21:00:02,FUNDING_FEE,-0.20392161,USDT,WLDUSDT,9066944510163149260
2024-11-07 05:00:02,FUNDING_FEE,-0.20211618,USDT,WLDUSDT,9068152468372977760
2024-11-07 10:11:43,COMMISSION,-0.30481039,USDT,BTCUSDT_241227,972104447777
2024-11-07 10:11:43,COMMISSION,-0.4191165,USDT,BTCUSDT_241227,972104447776
2024-11-07 10:11:43,REALIZED_PNL,3.61490526,USDT,BTCUSDT_241227,972104447777
2024-11-07 10:11:43,REALIZED_PNL,4.97489473,USDT,BTCUSDT_241227,972104447776
